,"0,10000","0,05000","0,01000","Adaptive"
100,"103,03663","113,54494","105,25408","95,71696"
200,"64,39891","85,66836","84,00391","78,48645"
300,"56,55078","65,26071","75,76505","63,85159"
400,"49,34058","60,41449","68,78649","54,88699"
500,"40,58304","57,44287","61,17071","49,48863"
600,"33,42986","54,77029","54,32637","46,29484"
700,"29,98533","52,11019","49,29740","44,08830"
800,"27,38151","48,97158","45,97353","42,25343"
900,"25,13739","45,19648","43,62466","40,60872"
1000,"23,37227","40,92699","41,75537","39,07971"
1100,"21,70361","36,50792","40,30722","37,67515"
1200,"20,07108","32,42623","39,06777","36,35042"
1300,"18,39170","28,79636","37,94458","35,08281"
1400,"16,73044","25,82496","36,93139","33,85166"
1500,"15,23921","23,67894","35,99906","32,64531"
1600,"14,03707","22,04044","35,17538","31,40759"
1700,"13,17891","21,05845","34,43881","30,12489"
1800,"12,66127","20,29033","33,77658","28,82920"
1900,"12,40115","19,61194","33,18835","27,52316"
2000,"12,19295","18,99301","32,66434","26,21233"
,,,,
,"0,05000",,,
100,"113,54494","0,05000",,
200,"85,66836","0,05000",,
300,"65,26071","0,05000",,
400,"60,41449","0,05000",,
500,"57,44287","0,05000",,
600,"54,77029","0,05000",,
700,"52,11019","0,05000",,
800,"48,97158","0,05000",,
900,"45,19648","0,05000",,
1000,"40,92699","0,05000",,
1100,"36,50792","0,05000",,
1200,"32,42623","0,05000",,
1300,"28,79636","0,05000",,
1400,"25,82496","0,05000",,
1500,"23,67894","0,05000",,
1600,"22,04044","0,05000",,
1700,"21,05845","0,05000",,
1800,"20,29033","0,05000",,
1900,"19,61194","0,05000",,
2000,"18,99301","0,05000",,
,,,,
,"0,01000",,,
100,"105,25408","0,01000",,
200,"84,00391","0,01000",,
300,"75,76505","0,01000",,
400,"68,78649","0,01000",,
500,"61,17071","0,01000",,
600,"54,32637","0,01000",,
700,"49,29740","0,01000",,
800,"45,97353","0,01000",,
900,"43,62466","0,01000",,
1000,"41,75537","0,01000",,
1100,"40,30722","0,01000",,
1200,"39,06777","0,01000",,
1300,"37,94458","0,01000",,
1400,"36,93139","0,01000",,
1500,"35,99906","0,01000",,
1600,"35,17538","0,01000",,
1700,"34,43881","0,01000",,
1800,"33,77658","0,01000",,
1900,"33,18835","0,01000",,
2000,"32,66434","0,01000",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"Adaptive",,,
100,"95,71696","0,02835",,
200,"78,48645","0,02647",,
300,"63,85159","0,02508",,
400,"54,88699","0,02418",,
500,"49,48863","0,02358",,
600,"46,29484","0,02313",,
700,"44,08830","0,02280",,
800,"42,25343","0,02254",,
900,"40,60872","0,02231",,
1000,"39,07971","0,02211",,
1100,"37,67515","0,02195",,
1200,"36,35042","0,02182",,
1300,"35,08281","0,02170",,
1400,"33,85166","0,02160",,
1500,"32,64531","0,02150",,
1600,"31,40759","0,02142",,
1700,"30,12489","0,02133",,
1800,"28,82920","0,02125",,
1900,"27,52316","0,02116",,
2000,"26,21233","0,02108",,
