100,"171,38","0,03"
200,"153,09","0,03"
300,"123,35","0,03"
400,"89,96","0,03"
500,"90,2","0,03"
600,"87,85","0,03"
700,"79,98","0,02"
800,"79,58","0,02"
900,"76,72","0,02"
1000,"70,96","0,02"
1100,"70,88","0,02"
1200,"70,95","0,02"
1300,"70,9","0,02"
1400,"70,64","0,02"
1500,"69,66","0,02"
1600,"67,5","0,02"
1700,"65,97","0,02"
1800,"65,52","0,02"
1900,"65,43","0,02"
2000,"65,41","0,02"
,,
100,"95,72","0,03"
200,"78,49","0,03"
300,"63,85","0,03"
400,"54,89","0,02"
500,"49,49","0,02"
600,"46,29","0,02"
700,"44,09","0,02"
800,"42,25","0,02"
900,"40,61","0,02"
1000,"39,08","0,02"
1100,"37,68","0,02"
1200,"36,35","0,02"
1300,"35,08","0,02"
1400,"33,85","0,02"
1500,"32,65","0,02"
1600,"31,41","0,02"
1700,"30,12","0,02"
1800,"28,83","0,02"
1900,"27,52","0,02"
2000,"26,21","0,021082}"
